"grant_id","parent_grant_id","grant_name","grant_code","system_block"
1372,null,"Выгрузка в Excel для формирования QR кодов","ml_group_read_for_qr","Smart Remont"
1373,null,"Проставление / Удаление признака QR код сформирован","ml_group_set_qr_generated","Smart Remont"
1374,662,"Баланс","OA__Balance","MySpace"
1375,1374,"Показать баланс","OA__BalanceShow","MySpace"
1376,null,"Заявки поставщикам","OA__ProviderRequest","MySpace"
1377,1376,"Просмотр Заявок поставщикам","OA__ProviderRequestList","MySpace"
1378,1376,"Распечатать заявки поставщику","OA__ProviderRequestPrint","MySpace"
1379,694,"Изменить признак ремонта ""Предгарантийные проверки""","OA__RemontFormHeaderPreWarrantyAccept","MySpace"
1380,1364,"Показывать информацию работы","P__DispatcherWorkSetInfoShow","Модуль для подрядчиков"
1381,null,"Заложенные пакеты","flat_cho","Smart Remont"
1382,1381,"Список помещении с заложенным ремонтом","flat_cho__read","Smart Remont"
1383,1381,"Прикрепление заложенного пакета","flat_cho_preset_kit__insert","Smart Remont"
1384,1381,"Прикрепление заложенного пакета на группу помещении","flat_cho_preset_kit__insert_arr","Smart Remont"
1385,1381,"Открепление заложенного пакета","flat_cho_preset_kit__del","Smart Remont"
1386,1354,"Показать меню","P__MobileMenuShow","Модуль для подрядчиков"
1387,1354,"Показать список конструктивов","P__MobileWorkSetListShow","Модуль для подрядчиков"
1388,null,"Заявки подрядчику","P__ContractorRequest","Модуль для подрядчиков"
1389,1388,"Показать заявки подрядчику","P__ContractorRequestShow","Модуль для подрядчиков"
1390,1388,"Принять/Отказать заявку подрядчику","P__ContractorRequestAccept","Модуль для подрядчиков"
1391,1330,"Данные для remarket","OA__HandbookContractorProfileUpd","MySpace"
1392,null,"Черновая","OA__FloorMap","MySpace"
1393,1392,"Показать список квартир","OA__FloorMapFlatRead","MySpace"
1394,1392,"Загруппировать этажи","OA__FloorMapFlatGrouping","MySpace"
1395,1392,"Показать список доступных цветов","OA__FloorMapFlatColoursRead","MySpace"
1396,1392,"Показать схему","OA__FloorMapFloorParamRead","MySpace"
1397,1392,"Показать детали","OA__FloorMapFloorParamDetailsRead","MySpace"
1398,1392,"Дублировать схемы","OA__FloorMapFloorParamDuplicate","MySpace"
1399,1392,"Замена по стояку","OA__FloorMapFloorParamReplacement","MySpace"
1400,1392,"Показать легенду","OA__FloorMapFloorParamTypesRead","MySpace"
1401,829,"Редактирование шоу-рума","OA__HandbookShowRoomUpd","MySpace"
1403,null,"Материалы поставщиков","OA__MaterialProvider","MySpace"
1404,1403,"Показать материалы поставщика","OA__MaterialProviderShow","MySpace"
1405,1403,"Редактирование материалов поставщика","OA__MaterialProviderUpd","MySpace"
1406,1403,"Показать историю цен","OA__MaterialProviderPriceShow","MySpace"
1407,1403,"Добавление цены материала поставщика","OA__MaterialProviderPriceUpd","MySpace"
1408,null,"Материалы","OA__Material","MySpace"
1409,1408,"Показать материалы общее","OA__MaterialAllShow","MySpace"
1410,1336,"Сканирование QR","OA__MaterialQrGet","MySpace"
1411,1408,"Отдел закупа","OA__MaterialZakup","MySpace"
1412,1411,"Показать материалы закупа","OA__MaterialZakupShow","MySpace"
1413,1411,"Получить данные материала","OA__MaterialZakupGet","MySpace"
1414,1411,"Редактирование материлов отделом закупа","OA__MaterialZakupUpd","MySpace"
1415,1408,"Сметный отдел","OA__MaterialSmetniy","MySpace"
1416,1415,"Просмотр сметным отделом","OA__MaterialSmetniyShow","MySpace"
1417,1415,"Получить материлым сметным отделом","OA__MaterialSmetniyGet","MySpace"
